cust_id,order_count,total_weight,total_volume,imputed_order_count,oversize_order_count,has_orders,customer_split_required
1,0,0.0,0.0,0,0,False,False
2,1,14.89,0.04317,0,0,True,False
3,5,235.0181,0.70348,0,0,True,False
4,12,1443.5621,3.4909974813905924,1,0,True,False
5,23,731.6005,2.31239,0,0,True,False
6,28,4473.6432,11.983199999999998,0,0,True,True
7,46,7463.2328,18.477136740776135,1,0,True,True
8,69,11807.770223282283,36.02702,1,0,True,True
9,37,2577.339130917874,6.65072,2,0,True,False
10,38,3759.985,14.55749,0,0,True,True
11,20,1325.5301,4.36316,0,0,True,False
12,14,1726.8416000000002,4.521751129740519,1,0,True,False
13,7,540.0867999999999,1.27918,0,0,True,False
14,0,0.0,0.0,0,0,False,False
15,0,0.0,0.0,0,0,False,False
16,3,85.19999999999999,0.1931,0,0,True,False
17,0,0.0,0.0,0,0,False,False
18,0,0.0,0.0,0,0,False,False
19,1,9.3722,0.07403,0,0,True,False
20,0,0.0,0.0,0,0,False,False
21,0,0.0,0.0,0,0,False,False
22,0,0.0,0.0,0,0,False,False
23,0,0.0,0.0,0,0,False,False
24,5,1262.1673,2.9559900000000003,0,0,True,False
25,5,2528.1351,5.33839,0,0,True,False
26,3,45.813199999999995,0.1362,0,0,True,False
27,9,3233.6041,7.63971,0,0,True,True
28,7,3257.3115000000003,7.9603,0,0,True,True
29,3,873.9449999999999,2.04764,0,0,True,False
30,4,334.852,0.73178,0,0,True,False
31,8,6771.620800000001,15.44527,0,1,True,True
32,11,442.3342,1.12524,0,0,True,False
33,9,527.2666,1.37982,0,0,True,False
34,10,364.0498,1.5211,0,0,True,False
35,14,1692.5786,3.88436,0,0,True,False
36,17,3309.2547,10.30776,0,0,True,True
37,13,564.949,1.8194000000000001,0,0,True,False
38,21,1261.7326,4.06727,0,0,True,False
39,18,4024.8916,10.00717,0,0,True,True
40,17,2691.1358,7.9507,0,0,True,False
41,35,2786.4185,7.943982841289994,1,0,True,False
42,25,6369.325358893752,15.334832439539348,2,0,True,True
43,41,5061.5807,13.61688,0,0,True,True
44,30,4552.3089,11.62403,0,0,True,True
45,43,5799.9256,18.41337,0,0,True,True
46,33,3319.8397,10.88662,0,0,True,True
47,38,2803.4148449251247,8.09606,1,0,True,False
48,42,8598.7276,21.947163683609133,1,0,True,True
49,46,4486.836,13.53895,0,0,True,True
50,55,7952.3101,21.573380851569752,1,0,True,True
51,54,3501.945066810669,9.75931,2,0,True,True
52,54,6733.774885530816,17.15851740533521,2,0,True,True
53,55,6963.8459,18.75874,0,0,True,True
54,55,7432.124592881746,19.67292,1,0,True,True
55,61,12197.6473,31.99107941896243,1,1,True,True
56,50,7065.1609,17.72942,0,0,True,True
57,49,6609.653,16.91453,0,0,True,True
58,44,2933.964,9.833463110439265,2,0,True,False
59,60,8831.025560195758,23.245070000000002,1,0,True,True
60,56,9906.6292,26.01759,0,0,True,True
61,37,6014.0655,18.804485519184414,1,0,True,True
62,63,8804.2944,25.16067277866143,1,0,True,True
63,52,8692.99,23.77785,0,0,True,True
64,49,8849.7672,21.496680002580348,1,0,True,True
65,54,6552.5867,17.979092500868724,1,0,True,True
66,38,2825.778816856863,8.6796,1,0,True,False
67,50,2885.641442688558,8.92494,1,0,True,False
68,50,7414.9874,17.4329,0,0,True,True
69,32,2288.8859,6.06402,0,0,True,False
70,42,5674.651,16.36573,0,0,True,True
71,21,3067.0688,10.0436,0,0,True,True
72,36,2725.3232,7.50056,0,0,True,False
73,29,3003.175394781204,7.5462,1,0,True,True
74,24,4418.048633855966,10.93872,1,0,True,True
75,21,3017.4406,7.85752,0,0,True,True
76,17,1256.3017,4.028616940486278,1,0,True,False
77,17,1968.2667999999999,5.09682,0,0,True,False
78,20,1882.391,4.7241,0,0,True,False
79,17,2315.13,7.3665199999999995,0,0,True,False
80,9,506.3405000000001,1.9028800000000001,0,0,True,False
81,12,1343.6123,3.64803,0,0,True,False
82,13,1493.082,4.67276,0,0,True,False
83,10,926.8409,2.79316,0,0,True,False
84,10,1605.2619000000002,4.36803,0,0,True,False
85,7,593.8303,1.42095,0,0,True,False
86,7,532.895,2.84858,0,0,True,False
87,6,180.291,0.46473,0,0,True,False
88,3,79.6007,0.5374800000000001,0,0,True,False
89,1,46.248,0.2733,0,0,True,False
90,4,100.6088,0.22653,0,0,True,False
91,4,70.435,0.39102000000000003,0,0,True,False
92,4,1524.5124999999998,3.82045,0,0,True,False
93,2,97.6961,0.33416999999999997,0,0,True,False
94,1,9.186,0.01795,0,0,True,False
95,1,109.35,0.29746,0,0,True,False
96,0,0.0,0.0,0,0,False,False
97,1,17.48,0.04201,0,0,True,False
98,1,25.5,0.0646,0,0,True,False
