scenario_name,seed,vehicle_type_usage,total_cost,startup_cost,energy_cost,carbon_cost,waiting_cost,late_cost,total_late_min,total_distance_km,route_count,used_vehicle_count,single_stop_route_count,two_stop_route_count,three_plus_route_count,late_positive_stops,max_late_min,latest_return_min,after_hours_service_count,after_hours_return_count,after_hours_travel_km
speed_scale_090,11,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87680.3219506997,52800.0,28218.014149040326,6088.562180546384,247.16720236771405,326.57841874525053,391.8941024943007,15025.324107408524,132,132,97,30,5,19,84.92706030593683,982.4,3,25,974.3173591515394
speed_scale_090,17,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87680.3219506997,52800.0,28218.014149040326,6088.562180546384,247.16720236771405,326.57841874525053,391.8941024943007,15025.324107408524,132,132,97,30,5,19,84.92706030593683,982.4,3,25,974.3173591515394
speed_scale_090,23,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87680.3219506997,52800.0,28218.014149040326,6088.562180546384,247.16720236771405,326.57841874525053,391.8941024943007,15025.324107408524,132,132,97,30,5,19,84.92706030593683,982.4,3,25,974.3173591515394
speed_scale_095,11,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87533.48320170499,52800.0,28135.31507019613,6070.55363444396,254.0571916076248,273.55730545732166,328.26876654878595,15010.172957658768,132,132,97,30,5,24,83.17471946192677,980.6,3,24,903.0409303052334
speed_scale_095,17,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87533.48320170499,52800.0,28135.31507019613,6070.55363444396,254.0571916076248,273.55730545732166,328.26876654878595,15010.172957658768,132,132,97,30,5,24,83.17471946192677,980.6,3,24,903.0409303052334
speed_scale_095,23,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87533.48320170499,52800.0,28135.31507019613,6070.55363444396,254.0571916076248,273.55730545732166,328.26876654878595,15010.172957658768,132,132,97,30,5,24,83.17471946192677,980.6,3,24,903.0409303052334
speed_scale_100,11,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87616.6097988012,52800.0,27994.567215509378,6040.5019621938145,356.3191575875486,425.22146351046456,510.26575621255745,14903.105113267899,132,132,97,29,6,18,99.00397146743023,911.7,2,24,785.8831494666076
speed_scale_100,17,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87616.6097988012,52800.0,27994.567215509378,6040.5019621938145,356.3191575875486,425.22146351046456,510.26575621255745,14903.105113267899,132,132,97,29,6,18,99.00397146743023,911.7,2,24,785.8831494666076
speed_scale_100,23,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87616.6097988012,52800.0,27994.567215509378,6040.5019621938145,356.3191575875486,425.22146351046456,510.26575621255745,14903.105113267899,132,132,97,29,6,18,99.00397146743023,911.7,2,24,785.8831494666076
speed_scale_105,11,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87549.54041343805,52800.0,27983.420564441076,6038.0125100168925,361.30735688088066,366.79998209915874,440.15997851899044,14903.105113267899,132,132,97,29,6,14,96.65893899488651,909.3,2,23,811.3092952114474
speed_scale_105,17,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87549.54041343805,52800.0,27983.420564441076,6038.0125100168925,361.30735688088066,366.79998209915874,440.15997851899044,14903.105113267899,132,132,97,29,6,14,96.65893899488651,909.3,2,23,811.3092952114474
speed_scale_105,23,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87549.54041343805,52800.0,27983.420564441076,6038.0125100168925,361.30735688088066,366.79998209915874,440.15997851899044,14903.105113267899,132,132,97,29,6,14,96.65893899488651,909.3,2,23,811.3092952114474
speed_scale_110,11,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87532.90007973759,52800.0,27997.18442570975,6040.924412292219,365.6388696013066,329.1523721343046,394.9828465611655,14903.105113267899,132,132,97,29,6,11,94.24631446253727,906.9,2,23,886.0036049205258
speed_scale_110,17,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87532.90007973759,52800.0,27997.18442570975,6040.924412292219,365.6388696013066,329.1523721343046,394.9828465611655,14903.105113267899,132,132,97,29,6,11,94.24631446253727,906.9,2,23,886.0036049205258
speed_scale_110,23,"{""ev_1250"": 15, ""ev_3000"": 10, ""fuel_1500"": 47, ""fuel_3000"": 60}",87532.90007973759,52800.0,27997.18442570975,6040.924412292219,365.6388696013066,329.1523721343046,394.9828465611655,14903.105113267899,132,132,97,29,6,11,94.24631446253727,906.9,2,23,886.0036049205258
